Country_Region,Province_State,Admin2,FIPS,Updated,Confirmed,Deaths,Recovered,Active,Combined_Key,Latitude,Longitude
Afghanistan,"","","",2020-02-24,1,0,0,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-08,4,0,0,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-10,5,0,0,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-11,7,0,0,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-14,11,0,0,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-15,16,0,0,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-16,21,0,1,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-17,22,0,1,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-20,24,0,1,0,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-22,40,1,1,38,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-23,40,1,1,38,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-24,74,1,1,72,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-25,84,2,2,80,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-26,94,4,2,88,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-27,110,4,2,104,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-28,110,4,2,104,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-29,120,4,2,114,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-30,170,4,2,164,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-03-31,174,4,5,165,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-04-01,237,4,5,228,Afghanistan,33.93911,67.709953
Afghanistan,"","","",2020-04-02,273,6,10,257,Afghanistan,33.93911,67.709953
Albania,"","","",2020-03-09,2,0,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-10,10,0,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-11,33,1,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-12,23,1,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-14,38,1,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-15,42,1,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-16,51,1,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-17,55,1,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-18,59,2,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-19,64,2,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-20,70,2,0,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-21,76,2,2,0,Albania,41.1533,20.1683
Albania,"","","",2020-03-22,89,2,2,85,Albania,41.1533,20.1683
Albania,"","","",2020-03-23,104,4,2,98,Albania,41.1533,20.1683
Albania,"","","",2020-03-24,123,5,10,108,Albania,41.1533,20.1683
Albania,"","","",2020-03-25,146,5,17,124,Albania,41.1533,20.1683
Albania,"","","",2020-03-26,174,6,17,151,Albania,41.1533,20.1683
Albania,"","","",2020-03-27,186,8,31,147,Albania,41.1533,20.1683
Albania,"","","",2020-03-28,197,10,31,156,Albania,41.1533,20.1683
Albania,"","","",2020-03-29,212,10,33,169,Albania,41.1533,20.1683
Albania,"","","",2020-03-30,223,11,44,168,Albania,41.1533,20.1683
Albania,"","","",2020-03-31,243,15,52,176,Albania,41.1533,20.1683
Albania,"","","",2020-04-01,259,15,67,177,Albania,41.1533,20.1683
Albania,"","","",2020-04-02,277,16,76,185,Albania,41.1533,20.1683
Algeria,"","","",2020-02-25,1,0,0,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-02,3,0,0,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-03,5,0,0,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-04,12,0,0,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-06,17,0,0,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-08,19,0,0,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-09,20,0,0,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-11,26,2,8,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-12,24,1,8,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-14,37,3,12,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-15,48,4,12,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-16,54,4,12,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-17,60,4,12,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-18,74,7,12,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-19,87,9,32,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-20,90,11,32,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-21,139,15,32,0,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-22,201,17,65,119,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-23,230,17,65,148,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-24,264,19,24,221,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-25,302,21,65,216,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-26,367,25,29,313,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-27,409,26,29,354,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-28,454,29,31,394,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-29,511,31,31,449,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-30,584,35,37,512,Algeria,28.0339,1.6596
Algeria,"","","",2020-03-31,716,44,46,626,Algeria,28.0339,1.6596
Algeria,"","","",2020-04-01,847,58,61,728,Algeria,28.0339,1.6596
Algeria,"","","",2020-04-02,986,86,61,839,Algeria,28.0339,1.6596
Andorra,"","","",2020-03-02,1,0,0,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-11,1,0,0,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-12,1,0,1,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-13,1,0,1,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-16,2,0,1,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-17,39,0,1,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-19,53,0,1,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-20,75,0,1,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-21,88,0,1,0,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-22,113,1,1,111,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-23,133,1,1,131,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-24,164,1,1,162,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-25,188,1,1,186,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-26,224,3,1,220,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-27,267,3,1,263,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-28,308,3,1,304,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-29,334,6,1,327,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-30,370,8,10,352,Andorra,42.5063,1.5218
Andorra,"","","",2020-03-31,376,12,10,354,Andorra,42.5063,1.5218
Andorra,"","","",2020-04-01,390,14,10,366,Andorra,42.5063,1.5218
Andorra,"","","",2020-04-02,428,15,10,403,Andorra,42.5063,1.5218
Angola,"","","",2020-03-20,1,0,0,0,Angola,-11.2027,17.8739
Angola,"","","",2020-03-21,2,0,0,0,Angola,-11.2027,17.8739
Angola,"","","",2020-03-22,2,0,0,2,Angola,-11.2027,17.8739
Angola,"","","",2020-03-23,3,0,0,3,Angola,-11.2027,17.8739
Angola,"","","",2020-03-24,3,0,0,3,Angola,-11.2027,17.8739
Angola,"","","",2020-03-25,3,0,0,3,Angola,-11.2027,17.8739
Angola,"","","",2020-03-26,4,0,0,4,Angola,-11.2027,17.8739
Angola,"","","",2020-03-27,4,0,0,4,Angola,-11.2027,17.8739
Angola,"","","",2020-03-28,5,0,0,5,Angola,-11.2027,17.8739
Angola,"","","",2020-03-29,7,2,0,5,Angola,-11.2027,17.8739
Angola,"","","",2020-03-30,7,2,0,5,Angola,-11.2027,17.8739
Angola,"","","",2020-03-31,7,2,1,4,Angola,-11.2027,17.8739
Angola,"","","",2020-04-01,8,2,1,5,Angola,-11.2027,17.8739
Angola,"","","",2020-04-02,8,2,1,5,Angola,-11.2027,17.8739
Antigua and Barbuda,"","","",2020-03-11,1,0,0,0,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-13,1,0,0,0,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-15,1,0,0,0,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-22,1,0,0,1,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-23,3,0,0,3,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-24,3,0,0,3,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-25,3,0,0,3,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-26,7,0,0,7,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-27,7,0,0,7,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-28,7,0,0,7,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-29,7,0,0,7,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-30,7,0,0,7,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-03-31,7,0,0,7,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-04-01,7,0,0,7,Antigua and Barbuda,17.0608,-61.7964
Antigua and Barbuda,"","","",2020-04-02,9,0,0,9,Antigua and Barbuda,17.0608,-61.7964
Argentina,"","","",2020-03-03,1,0,0,0,Argentina,-38.4161,-63.6167
Argentina,"","","",2020-03-04,1,0,0,0,Argentina,-38.4161,-63.6167
Argentina,"","","",2020-03-06,2,0,0,0,Argentina,-38.4161,-63.6167
Argentina,"","","",2020-03-07,8,0,0,0,Argentina,-38.4161,-63.6167
