Country_Region,Province_State,Admin2,FIPS,Updated,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,Combined_Key,DAY
Belgium,"","","",2020-03-26,6235,220,675,5340,50.8333,4.469936,Belgium,1
Belgium,"","","",2020-03-27,7284,289,858,6137,50.8333,4.469936,Belgium,2
Belgium,"","","",2020-03-28,9134,353,1063,7718,50.8333,4.469936,Belgium,3
Belgium,"","","",2020-03-29,10836,431,1359,9046,50.8333,4.469936,Belgium,4
Belgium,"","","",2020-03-30,11899,513,1527,9859,50.8333,4.469936,Belgium,5
Belgium,"","","",2020-03-31,12775,705,1696,10374,50.8333,4.469936,Belgium,6
Belgium,"","","",2020-04-01,13964,828,2132,11004,50.8333,4.469936,Belgium,7
Belgium,"","","",2020-04-02,15348,1011,2495,11842,50.8333,4.469936,Belgium,8
Belgium,"","","",2020-04-03,16770,1143,2872,12755,50.8333,4.469936,Belgium,9
Belgium,"","","",2020-04-04,18431,1283,3247,13901,50.8333,4.469936,Belgium,10
Belgium,"","","",2020-04-05,19691,1447,3751,14493,50.8333,4.469936,Belgium,11
Belgium,"","","",2020-04-06,20814,1632,3986,15196,50.8333,4.469936,Belgium,12
Belgium,"","","",2020-04-07,22194,2035,4157,16002,50.8333,4.469936,Belgium,13
Belgium,"","","",2020-04-08,23403,2240,4681,16482,50.8333,4.469936,Belgium,14
Belgium,"","","",2020-04-09,24983,2523,5164,17296,50.8333,4.469936,Belgium,15
Belgium,"","","",2020-04-10,26667,3019,5568,18080,50.8333,4.469936,Belgium,16
Belgium,"","","",2020-04-11,28018,3346,5986,18686,50.8333,4.469936,Belgium,17
Belgium,"","","",2020-04-12,29647,3600,6463,19584,50.8333,4.469936,Belgium,18
Belgium,"","","",2020-04-13,30589,3903,6707,19979,50.8333,4.469936,Belgium,19
China,"","","",2020-02-01,11842,259,273,0,30.5928,114.3055,China,1
China,"","","",2020-02-02,16606,361,463,0,30.5928,114.3055,China,2
China,"","","",2020-02-03,19692,425,614,0,30.5928,114.3055,China,3
China,"","","",2020-02-04,23679,490,843,0,30.5928,114.3055,China,4
China,"","","",2020-02-05,27374,562,1114,0,30.5928,114.3055,China,5
China,"","","",2020-02-06,30490,632,1470,0,30.5928,114.3055,China,6
China,"","","",2020-02-07,34056,717,1995,0,30.5928,114.3055,China,7
China,"","","",2020-02-08,36759,804,2592,0,30.5928,114.3055,China,8
China,"","","",2020-02-09,39771,904,3215,0,30.5928,114.3055,China,9
China,"","","",2020-02-10,42168,1011,3889,0,30.5928,114.3055,China,10
China,"","","",2020-02-11,44268,1111,4630,0,30.5928,114.3055,China,11
China,"","","",2020-02-12,44699,1116,5079,0,30.5928,114.3055,China,12
China,"","","",2020-02-13,59831,1368,6212,0,30.5928,114.3055,China,13
China,"","","",2020-02-14,66183,1518,7922,0,30.5928,114.3055,China,14
China,"","","",2020-02-15,68346,1662,9293,0,30.5928,114.3055,China,15
China,"","","",2020-02-16,70357,1765,10701,0,30.5928,114.3055,China,16
China,"","","",2020-02-17,72345,1863,12441,0,30.5928,114.3055,China,17
China,"","","",2020-02-18,74138,2002,14198,0,30.5928,114.3055,China,18
China,"","","",2020-02-19,74545,2114,15951,0,30.5928,114.3055,China,19
China,"","","",2020-02-20,74980,2236,17985,0,30.5928,114.3055,China,20
China,"","","",2020-02-21,75471,2236,18692,0,30.5928,114.3055,China,21
China,"","","",2020-02-22,76741,2439,22544,0,30.5928,114.3055,China,22
China,"","","",2020-02-23,76919,2443,23151,0,30.5928,114.3055,China,23
China,"","","",2020-02-24,76987,2591,24869,0,30.5928,114.3055,China,24
